epoch,accuracy,loss,val_accuracy,val_loss
0,0.4110209345817566,1.7160215377807617,0.469490110874176,1.4435802698135376
1,0.4645233154296875,1.526178002357483,0.35873502492904663,7.41715145111084
2,0.4928071200847626,1.4374845027923584,0.5300919413566589,1.2863930463790894
3,0.5107805728912354,1.3447679281234741,0.39732515811920166,1.5442099571228027
4,0.5253753066062927,1.2869694232940674,0.47840625047683716,1.6200141906738281
5,0.5446375608444214,1.2311913967132568,0.5576762557029724,1.148417592048645
6,0.5686718225479126,1.15371835231781,0.5664530396461487,1.1708652973175049
7,0.5839284062385559,1.1000831127166748,0.5987740159034729,1.0636231899261475
8,0.5932634472846985,1.0728623867034912,0.6032320857048035,1.0712780952453613
9,0.5966770052909851,1.0731711387634277,0.6258010864257812,1.0479665994644165
10,0.6065693497657776,1.034401774406433,0.6202284693717957,1.023979663848877
11,0.6105750799179077,1.0185283422470093,0.6040679812431335,1.0730358362197876
12,0.6202584505081177,0.993118166923523,0.6058790683746338,1.04447603225708
13,0.6209202408790588,0.9869964122772217,0.6100584864616394,1.0521889925003052
14,0.6319969296455383,0.9583142399787903,0.5994706153869629,1.114222526550293
15,0.6315789222717285,0.9512795209884644,0.591947615146637,1.128867506980896
16,0.6310216188430786,0.963910698890686,0.6005851030349731,1.0745148658752441
